"";"Trait";"variable";"value";"type";"SampleNr"
"1";"Cab";"B02";0,125011010472239;"mSI";2000
"2";"Car";"B02";0,429419994993694;"mSI";2000
"3";"Cw";"B02";2,09155793886949e-05;"mSI";2000
"4";"Cm";"B02";0,000554431695569641;"mSI";2000
"5";"LAI";"B02";0,00652228505301496;"mSI";2000
"6";"Cab";"B03";0,918346248048515;"mSI";2000
"7";"Car";"B03";0,00247837960334284;"mSI";2000
"8";"Cw";"B03";3,81814225949986e-05;"mSI";2000
"9";"Cm";"B03";0,00404884015300814;"mSI";2000
"10";"LAI";"B03";0,00376193019112051;"mSI";2000
"11";"Cab";"B04";0,786867646460567;"mSI";2000
"12";"Car";"B04";1,26858235303276e-05;"mSI";2000
"13";"Cw";"B04";1,23577184962876e-05;"mSI";2000
"14";"Cm";"B04";0,000631582531389593;"mSI";2000
"15";"LAI";"B04";0,000587715801616172;"mSI";2000
"16";"Cab";"B05";0,923975051888028;"mSI";2000
"17";"Car";"B05";4,22856123577979e-05;"mSI";2000
"18";"Cw";"B05";3,81530725078949e-05;"mSI";2000
"19";"Cm";"B05";0,0114331626087169;"mSI";2000
"20";"LAI";"B05";0,0071525685835177;"mSI";2000
"21";"Cab";"B06";0,179234132932269;"mSI";2000
"22";"Car";"B06";1,66160144678392e-05;"mSI";2000
"23";"Cw";"B06";1,7172948845051e-05;"mSI";2000
"24";"Cm";"B06";0,531944287967785;"mSI";2000
"25";"LAI";"B06";0,217231652404214;"mSI";2000
"26";"Cab";"B07";2,31992191488829e-08;"mSI";2000
"27";"Car";"B07";1,03513523324561e-06;"mSI";2000
"28";"Cw";"B07";7,80274362593386e-05;"mSI";2000
"29";"Cm";"B07";0,693241346338238;"mSI";2000
"30";"LAI";"B07";0,249628169747524;"mSI";2000
"31";"Cab";"B8A";1,08739986374236e-06;"mSI";2000
"32";"Car";"B8A";1,08739986374236e-06;"mSI";2000
"33";"Cw";"B8A";0,000272116600560051;"mSI";2000
"34";"Cm";"B8A";0,70368285518215;"mSI";2000
"35";"LAI";"B8A";0,240513920687923;"mSI";2000
"36";"Cab";"B11";8,95401446485325e-06;"mSI";2000
"37";"Car";"B11";8,95401446485325e-06;"mSI";2000
"38";"Cw";"B11";0,563290880785687;"mSI";2000
"39";"Cm";"B11";0,374612902109127;"mSI";2000
"40";"LAI";"B11";0,00297011716456824;"mSI";2000
"41";"Cab";"B12";1,55735492007798e-05;"mSI";2000
"42";"Car";"B12";1,55735492007798e-05;"mSI";2000
"43";"Cw";"B12";0,383138323523235;"mSI";2000
"44";"Cm";"B12";0,396628226459402;"mSI";2000
"45";"LAI";"B12";0,0629325283227431;"mSI";2000
