;Model;Epochs;ValidType;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;Training_time;ModelName
0;ANN_optimized;50;Training;cab;1;0,9861507167951101;19,38590772544606;3,2842910703708474;20,20386210745034;2,304635310068342;0,9846737942018355;6,2861434730481;2,8356614112854004;not stored
1;ANN_optimized;50;Validation;cab;1;0,9833948866824174;23,13618592819452;3,5776836873253957;23,15313791321089;2,8090757319738273;0,9820593794681971;6,1928665002605205;2,8356614112854004;not stored
2;MTN_optimized;50;Training;cab;1;0,9890424865598507;16,075255587053604;3,0816351761825924;15,803841524172956;2,637676908170474;0,9880115531222253;7,0842711521575685;6,832810401916504;not stored
3;MTN_optimized;50;Validation;cab;1;0,9888634639836144;17,742646499483584;3,093701683255405;15,750952490387645;2,542376906154992;0,9877950944401682;6,651163057148364;6,832810401916504;not stored
4;ANN_optimized;50;Training;cw;1;0,7853903623719083;0,0037213900970951147;0,0008039677669473545;1,1752532352334083e-06;0,0005975326039061074;0,7845108837736059;18,464050664627024;2,8356614112854004;not stored
5;ANN_optimized;50;Validation;cw;1;0,7609578474242795;0,0035986045544820822;0,0008620481928839073;1,2681893858100506e-06;0,0006690647639051154;0,7609399694182132;18,143533756001993;2,8356614112854004;not stored
6;MTN_optimized;50;Training;cw;1;0,7385148231473697;0,0033117696766171816;0,0009689627948786013;1,467058240010093e-06;0,0008433329045428712;0,7310068382584466;22,570515296817135;6,832810401916504;not stored
7;MTN_optimized;50;Validation;cw;1;0,7313462612188517;0,0031384567238217746;0,0009636342493429067;1,4502280959755194e-06;0,0008122933371460892;0,7266247637350896;21,307283671825516;6,832810401916504;not stored
8;ANN_optimized;50;Training;cm;1;0,6020929361664495;0,0046613450173499035;0,0010668002338893646;1,900704414374304e-06;0,0008274781092912596;0,5983017628997582;20,744273196276183;2,8356614112854004;not stored
9;ANN_optimized;50;Validation;cm;1;0,5924984893438492;0,004503291510499819;0,0012051124457447453;2,3647733143592074e-06;0,0009978271894947855;0,5924546878879731;25,11174019856064;2,8356614112854004;not stored
10;MTN_optimized;50;Training;cm;1;0,6312629230630497;0,004413711467033808;0,001031589596974838;1,779950996330491e-06;0,0008296280015619491;0,6238220041246392;19,93733508167098;6,832810401916504;not stored
