;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
0;ANN;50;5;40;5;cab;1;0,9331634189753699;11,899549113337343;7,843803146736517;66,83509088565967;7,342940178848416;0,9325562348391985;13,037019678962588;Not saved
1;RFR;50;5;40;5;cab;1;0,9652285570676384;9,072202722052449;6,7118811702861425;49,55508891956714;7,065841914843787;0,9499936076195113;14,099054695593857;Not saved
2;GPR;50;5;40;5;cab;1;0,9998272677633842;1,2207153611882084;0,7061063202807027;0,6697594783330756;0,8452180258219073;0,9993241409509236;1,474596717852628;Not saved
3;MTN;50;5;40;5;cab;1;0,7539575687915643;28,28533707720453;12,813861267091681;281,65457044192965;16,630497005802383;0,715780371454126;14,110554793910596;Not saved
4;ANN;50;5;40;5;cw;1;0,7124259806596134;0,0022821161458139432;0,0009411835194386778;1,6820170925438285e-06;0,0003462021632325476;0,4981864538304124;32,77389874769694;Not saved
5;RFR;50;5;40;5;cw;1;0,4875770771269681;0,0036516519482349434;0,0024244971933599243;7,288705178269528e-06;0,002670258390395133;-1,174514758919884;73,08674559746585;Not saved
6;GPR;50;5;40;5;cw;1;0,9961552860413662;0,0003225066444468264;0,0001763844960371696;4,3998497267284354e-08;0,00014606210589532785;0,9868734734993464;4,123032800701109;Not saved
7;MTN;50;5;40;5;cw;1;0,6621870934744005;0,0020702654057984365;0,0009471898544505246;1,5894582376741876e-06;0,0006583216672557766;0,5258004937812699;32,723537750849566;Not saved
8;ANN;50;5;40;5;cm;1;0,7961418564907107;0,002368428191337934;0,0013718393702771123;2,3165951981241896e-06;0,000949981335486464;0,5880129064182759;18,842255078600612;Not saved
9;RFR;50;5;40;5;cm;1;0,01855100037569002;0,0034036028042425887;0,002211552294292775;5,925337044597037e-06;0,0022998888525558557;-0,053771668642122794;36,40061629627305;Not saved
10;GPR;50;5;40;5;cm;1;0,9959990688333263;0,000260322244566848;0,0001150864545805509;2,2521013299768187e-08;5,162508254556199e-05;0,9959948260182013;1,596861317930886;Not saved
11;MTN;50;5;40;5;cm;1;0,611277697363664;0,002495363267306438;0,0015171318575631768;2,7512372676042345e-06;0,0014837035186267425;0,5107154471563276;19,409335595464817;Not saved
12;ANN;50;5;40;5;lai;1;0,7243438206290663;2,4006537287681127;1,0488373096870132;2,122488371891645;0,3411198992574951;0,7240458610829044;22,339069911896505;Not saved
