;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
0;ANN;3350;335;2713;302;cab;1;0,9978861798756246;13,93380937171429;1,1949727393545364;3,355805408200791;0,8483644421850158;0,9969687253458436;2,0074574150120896;Not saved
1;RFR;3350;335;2713;302;cab;1;0,9978003066567349;16,80805487335708;0,8191667965424138;2,4749968507084406;0,5288527833084871;0,9977643533190764;1,256669893632892;Not saved
2;GPR;3350;335;2713;302;cab;1;0,9999989323933469;0,34099942595081245;0,01762776624401713;0,0011823242653221263;0,012047911422925495;0,9999989320150776;0,029924396563699645;Not saved
3;MTN;3350;335;2713;302;cab;1;0,9994648667724593;5,74112138343304;0,5460293496995383;0,652439982328657;0,35894612291402694;0,9994106557022174;0,8848909460816793;Not saved
4;ANN;3350;335;2713;302;cw;1;0,9969964224288289;0,0008793659930360596;0,00011895254133066138;2,4566898089587692e-08;9,850453407973976e-05;0,9954694988039294;2,6046467860385287;Not saved
5;RFR;3350;335;2713;302;cw;1;0,0005099405424314751;0,0051140770746274135;0,001998311860198063;5,4389896291945655e-06;0,0020303975913828582;-0,003030538516601844;46,00841336637315;Not saved
6;GPR;3350;335;2713;302;cw;1;0,9999958836652872;6,067937331819505e-05;2,454832186195156e-06;2,234771341670597e-11;1,7804489787507163e-06;0,999995878749446;0,04733222116608712;Not saved
7;MTN;3350;335;2713;302;cw;1;0,9977951093871239;0,000613133542165821;0,00010648672181203226;1,7843613535003767e-08;8,74338795756836e-05;0,9967093724178056;2,131415123045015;Not saved
8;ANN;3350;335;2713;302;cm;1;0,9941366004172054;0,0011986629182853623;0,0001276213596491922;3,266092259656924e-08;9,833904003043667e-05;0,9936302958457875;2,790702122476402;Not saved
9;RFR;3350;335;2713;302;cm;1;0,14561367179483176;0,005048379865933506;0,001796459891483801;4,380906634866183e-06;0,0017869930618234836;0,14561264738262292;37,73595390877523;Not saved
10;GPR;3350;335;2713;302;cm;1;0,9999961613868104;3,8954714504154525e-05;2,780804622416479e-06;1,968393961144506e-11;1,7379888583423514e-06;0,9999961611350218;0,056277723387167994;Not saved
11;MTN;3350;335;2713;302;cm;1;0,9976388025430079;0,0006503760791054126;7,786867324993786e-05;1,210820920686487e-08;5,745685723083406e-05;0,9976385936356512;1,6379645903247302;Not saved
12;ANN;3350;335;2713;302;lai;1;0,9928418046391279;1,0927333466556473;0,19113798234531906;0,05791016619122711;0,16170824810264017;0,9926279863347334;5,1414737563132435;Not saved
13;RFR;3350;335;2713;302;lai;1;0,9657098759957672;2,145176481134902;0,35517346152512225;0,2694117965475283;0,21349996265941584;0,9657036479713422;10,272279484281897;Not saved
14;GPR;3350;335;2713;302;lai;1;0,999996583425197;0,030621421087525746;0,003691170271452086;2,693520858332751e-05;0,0027756246824015562;0,9999965711249197;0,11200501587086764;Not saved
15;MTN;3350;335;2713;302;lai;1;0,9979560035762212;0,7903662758582826;0,08591078760763655;0,017318336228360473;0,059610902555348844;0,997795360992169;1,8677331151258982;Not saved
16;ANN;3350;335;2713;302;cab;2;0,9986234962574972;8,453111739878352;0,8850174076094197;1,5276024766538754;0,7356753776760492;0,9986201277768396;1,6523737326547407;Not saved
17;RFR;3350;335;2713;302;cab;2;0,9978360796508159;15,501734972956271;0,8074116822185349;2,432371024881539;0,5483698604875684;0,9978028569179817;1,236822005972606;Not saved
18;GPR;3350;335;2713;302;cab;2;0,9999990210902842;0,3219972006966145;0,01792397737408393;0,0010842390085337409;0,012284417211269272;0,9999990206147777;0,03233574353714328;Not saved
19;MTN;3350;335;2713;302;cab;2;0,9992429951058087;8,012186995890062;0,5613392769436863;0,8388034263557079;0,38171374852269935;0,9992423149566664;0,848007466663939;Not saved
20;ANN;3350;335;2713;302;cw;2;0,9961304843465643;0,0010388851558650225;0,00011117561526785798;2,341517737735126e-08;8,313823361557216e-05;0,9956818932236603;2,4509389861239974;Not saved
