;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
0;ANN;50;5;40;5;cab;1;0,9504901852035849;9,368696926020178;5,250011114390156;38,15530252387436;5,965544986659111;0,91557767519145;10,862412928805817;Not saved
1;RFR;50;5;40;5;cab;1;0,9923125165706517;3,9463723692652692;1,902564187736496;5,258448818553066;1,3418476435004152;0,9883651695889123;6,104774682302302;Not saved
2;GPR;50;5;40;5;cab;1;0,9998288692414643;0,6381692408662936;0,2702752633163719;0,1250298913540288;0,12975969317430014;0,9997233591820675;0,8340078659387956;Not saved
3;MTN;50;5;40;5;cab;1;0,8926071784142591;18,72992586889127;8,519014486282629;102,0416373207661;7,068115307067277;0,7742229341649252;18,016698217034104;Not saved
4;ANN;50;5;40;5;cw;1;0,592691808783861;0,002412071652901082;0,0013310993423325628;2,174034990496271e-06;0,001127952984246807;0,5829892033711905;24,563256239819044;Not saved
5;RFR;50;5;40;5;cw;1;-0,07129211429334692;0,003388364374410497;0,0019262728177753669;5,863774396813086e-06;0,0027683311995831154;-0,1247552330831887;37,13286830307913;Not saved
6;GPR;50;5;40;5;cw;1;0,9510008281037584;0,0010823788577113344;0,000323667821095764;2,6739414579060474e-07;5,9385327379628955e-05;0,9487100040995355;4,146717364383693;Not saved
7;MTN;50;5;40;5;cw;1;0,6892164992157018;0,002159612920325904;0,0011175315228862375;1,6419181420223414e-06;0,0010377152773471642;0,6850567744322578;20,823859545706934;Not saved
8;ANN;50;5;40;5;cm;1;0,023910480212339547;0,0029623897920442906;0,0016348289356255094;3,346610504913835e-06;0,0016029182067324125;-0,014558628557385767;34,01039796740898;Not saved
9;RFR;50;5;40;5;cm;1;0,3487547682495221;0,0022616336025351536;0,001308131945280642;2,2695828539972515e-06;0,0016181695295592316;0,31195313456171236;29,6606986022575;Not saved
10;GPR;50;5;40;5;cm;1;0,8588998445965287;0,0015451376323421312;0,00041329936976238163;5,073561118298209e-07;8,590386206005877e-05;0,8461898926533359;7,8850312001423895;Not saved
11;MTN;50;5;40;5;cm;1;0,24501305479070568;0,002937889023412594;0,0013117272437238256;2,6615757759737516e-06;0,0007893764946724328;0,19311653832778042;25,936640615429212;Not saved
12;ANN;50;5;40;5;lai;1;0,667425764138794;3,175294549704283;1,6780849285876271;3,7428383584894918;1,140979506626591;0,5984180172263033;27,946992415593186;Not saved
13;RFR;50;5;40;5;lai;1;0,6374029028194836;4,172398547266254;1,9857911201878147;5,5835181859608545;1,2529854173050232;0,40092515646973814;33,84496285115429;Not saved
14;GPR;50;5;40;5;lai;1;0,9988172728360234;0,20348154815387254;0,07705968060944243;0,0117578320210016;0,04895579534595029;0,9987384618185811;1,8824360668765143;Not saved
15;MTN;50;5;40;5;lai;1;0,8277222652534543;2,657618196249693;1,05072176262316;2,0183137437618366;0,6682383796124309;0,7834481862565968;13,852471957874595;Not saved
