;Model;NSamples;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
0;ANN;1850;185;1498;167;cab;1;0,9979919540169816;9,631580826730698;1,1045714513360008;2,4715707320499956;0,9061751844786983;0,9979356175762072;2,423081521635269;Not saved
1;RFR;1850;185;1498;167;cab;1;0,9981403476999328;10,1624795415471;0,8987324644090544;2,2412628890918906;0,5664387625178975;0,9981279824787767;1,455364901523617;Not saved
2;GPR;1850;185;1498;167;cab;1;0,9999984259525876;0,34032952704075115;0,02487357394758461;0,0018915094089385835;0,015326011906882542;0,9999984201144934;0,050579697531063825;Not saved
3;MTN;1850;185;1498;167;cab;1;0,9986426527023292;7,539682804535275;0,9085023794807362;1,686097960720306;0,6396135690266149;0,9985916846522871;1,7745862704924553;Not saved
4;ANN;1850;185;1498;167;cw;1;0,9946327246115473;0,0012010612257982705;0,0001493789943311339;4,4750940130542033e-08;0,00012199071361150343;0,9920815812356769;2,904009285931926;Not saved
5;RFR;1850;185;1498;167;cw;1;-0,04236589656796674;0,004729170136391915;0,002073801033481105;5,895664989356725e-06;0,001962364197223579;-0,04320365435236151;45,60007018093746;Not saved
6;GPR;1850;185;1498;167;cw;1;0,9999932627429068;5,584616199409524e-05;3,469470740901308e-06;3,8250945533597004e-11;2,1587696126855807e-06;0,9999932317175018;0,0666856721405937;Not saved
7;MTN;1850;185;1498;167;cw;1;0,9937223321317145;0,001124752844985864;0,0001459067068044182;4,192066723421218e-08;0,00010823064249252485;0,9925823815751799;2,757596329153958;Not saved
8;ANN;1850;185;1498;167;cm;1;0,993580898162928;0,0013965357127049315;0,0001205332264201423;4,020424834662242e-08;8,474001275187402e-05;0,9930177715833592;2,660348467082204;Not saved
9;RFR;1850;185;1498;167;cm;1;0,18251532570810158;0,004783318511920013;0,0018670629467965269;4,7115937640833495e-06;0,0019199245314767289;0,18174259636385126;42,25250928406084;Not saved
10;GPR;1850;185;1498;167;cm;1;0,9999933429214316;5,315468387038277e-05;3,662428687894651e-06;3,8505469042535895e-11;2,2404415253324955e-06;0,9999933127967515;0,08202706938490356;Not saved
11;MTN;1850;185;1498;167;cm;1;0,9921510448598992;0,0012497872146227705;0,0001497184696454265;4,611477617834643e-08;0,0001156494568576305;0,9919912965942435;3,0906844845698798;Not saved
12;ANN;1850;185;1498;167;lai;1;0,9902989619482531;0,8515202888303577;0,25460855832618984;0,10243239339059272;0,22402064244409825;0,9886910876577895;6,54131910062884;Not saved
13;RFR;1850;185;1498;167;lai;1;0,9578709471611224;3,509067578935425;0,3872533425655108;0,3854751142289677;0,23502261827666704;0,957442131999238;13,082207973541497;Not saved
14;GPR;1850;185;1498;167;lai;1;0,9999953210851864;0,025269889289955216;0,00449935043558296;4,244157384761699e-05;0,0028677350354877618;0,99999531429441;0,1801649498035571;Not saved
15;MTN;1850;185;1498;167;lai;1;0,9953314620181625;0,954473245983678;0,21851479760291914;0,08078519024827799;0,18121399542215855;0,9910810183690341;5,701322349591615;Not saved
16;ANN;1850;185;1498;167;cab;2;0,9967086539161664;11,558969692824036;1,453982924683972;3,972967987110885;1,126332271439468;0,996646780968693;3,226936628948725;Not saved
17;RFR;1850;185;1498;167;cab;2;0,9971698368029539;13,271510181549615;0,915236947872315;3,3768678886494956;0,4839654523212573;0,9971498945606498;1,6225191435650335;Not saved
18;GPR;1850;185;1498;167;cab;2;0,9999992512353999;0,17788933022385933;0,020070568677150173;0,0008872265810395449;0,013326714221406633;0,9999992511731617;0,047662026994886086;Not saved
19;MTN;1850;185;1498;167;cab;2;0,9992708731467985;3,8440084303759114;0,7685265633990352;1,0687674735673411;0,6170789418413705;0,9990979510924743;1,4536899193750694;Not saved
20;ANN;1850;185;1498;167;cw;2;0,9904314671884589;0,0010515407513160425;0,00017750713779808084;5,976155428292581e-08;0,0001356279771639584;0,9884994007731689;3,8131123714208273;Not saved
21;RFR;1850;185;1498;167;cw;2;0,06130694982494078;0,004708370003577695;0,0018593447397729833;4,916036468303329e-06;0,0016995700559142074;0,05395089058793123;42,55424832759713;Not saved
22;GPR;1850;185;1498;167;cw;2;0,9999964046384419;1,970495050872701e-05;3,062558602343987e-06;1,899660505938362e-11;2,284778984954633e-06;0,9999963442660741;0,062363544702535;Not saved
23;MTN;1850;185;1498;167;cw;2;0,9969389932600152;0,0009506926804211963;9,723630919797731e-05;1,970392668764702e-08;7,229061679594941e-05;0,9962081480853614;1,8693724564521952;Not saved
24;ANN;1850;185;1498;167;cm;2;0,9899428884676896;0,0012066327319248094;0,00017550700047000358;6,556476330388329e-08;0,00012343958056612245;0,9871258205238892;3,87763503685291;Not saved
25;RFR;1850;185;1498;167;cm;2;0,21969213482463923;0,004182237547503363;0,0017307932588759899;3,996900146845187e-06;0,0017252397939344407;0,2151758468175421;39,18971730550565;Not saved
