"";"Model";"NoiseLevel";"NoiseType";"Variable";"MAPE";"sd";"ErrorType";"Model_ErrorType";"Variable_upper"
"1";"ANN";1;"Combined";"cab";2,560633676105;0,692792608481204;"Validation error";"ANN Validation error";"Cab"
"2";"GPR";1;"Combined";"cab";4,87032979152752;0,746616513922196;"Validation error";"GPR Validation error";"Cab"
"3";"MTN";1;"Combined";"cab";1,4064951217622;0,437171450943192;"Validation error";"MTN Validation error";"Cab"
"4";"RFR";1;"Combined";"cab";1,43674789846078;0,157612912918151;"Validation error";"RFR Validation error";"Cab"
"5";"ANN";3;"Combined";"cab";3,09062761069193;0,561374066219473;"Validation error";"ANN Validation error";"Cab"
"6";"GPR";3;"Combined";"cab";6,80414578873904;0,622539438652049;"Validation error";"GPR Validation error";"Cab"
"7";"MTN";3;"Combined";"cab";1,93452015298497;0,437082179359433;"Validation error";"MTN Validation error";"Cab"
"8";"RFR";3;"Combined";"cab";2,68808225286378;0,103670519864533;"Validation error";"RFR Validation error";"Cab"
"9";"ANN";5;"Combined";"cab";4,86040253952945;0,501323971406685;"Validation error";"ANN Validation error";"Cab"
"10";"GPR";5;"Combined";"cab";8,92610214268869;1,07235361546503;"Validation error";"GPR Validation error";"Cab"
"11";"MTN";5;"Combined";"cab";3,77275684281754;0,324634314017794;"Validation error";"MTN Validation error";"Cab"
"12";"RFR";5;"Combined";"cab";4,2377168213605;0,157708302005503;"Validation error";"RFR Validation error";"Cab"
"13";"ANN";10;"Combined";"cab";11,6881386094099;0,727544060612096;"Validation error";"ANN Validation error";"Cab"
"14";"GPR";10;"Combined";"cab";17,1781091763907;1,70166443798722;"Validation error";"GPR Validation error";"Cab"
"15";"MTN";10;"Combined";"cab";10,9594843437076;0,612285533196272;"Validation error";"MTN Validation error";"Cab"
"16";"RFR";10;"Combined";"cab";11,3246798320683;0,317189327286904;"Validation error";"RFR Validation error";"Cab"
"17";"ANN";15;"Combined";"cab";22,9175785866481;1,95115000479166;"Validation error";"ANN Validation error";"Cab"
"18";"GPR";15;"Combined";"cab";27,417131091361;1,63594972885496;"Validation error";"GPR Validation error";"Cab"
"19";"MTN";15;"Combined";"cab";22,2079845320915;1,44950650257281;"Validation error";"MTN Validation error";"Cab"
"20";"RFR";15;"Combined";"cab";21,5578433414042;2,10839826285859;"Validation error";"RFR Validation error";"Cab"
"21";"ANN";20;"Combined";"cab";35,2146956773232;2,72387237841057;"Validation error";"ANN Validation error";"Cab"
"22";"GPR";20;"Combined";"cab";38,61718461768;3,22532454509351;"Validation error";"GPR Validation error";"Cab"
"23";"MTN";20;"Combined";"cab";34,8277043345471;2,91598318617882;"Validation error";"MTN Validation error";"Cab"
"24";"RFR";20;"Combined";"cab";34,5126008092815;2,91265619843987;"Validation error";"RFR Validation error";"Cab"
"25";"ANN";25;"Combined";"cab";50,0339300958132;2,53387095982123;"Validation error";"ANN Validation error";"Cab"
"26";"GPR";25;"Combined";"cab";51,3723161177787;2,57327729983362;"Validation error";"GPR Validation error";"Cab"
"27";"MTN";25;"Combined";"cab";49,3801702884599;2,81791971479338;"Validation error";"MTN Validation error";"Cab"
"28";"RFR";25;"Combined";"cab";47,0455453818817;2,87087346901042;"Validation error";"RFR Validation error";"Cab"
"29";"ANN";30;"Combined";"cab";58,2248778698368;6,40771996382974;"Validation error";"ANN Validation error";"Cab"
"30";"GPR";30;"Combined";"cab";58,2287031842801;4,48944469947198;"Validation error";"GPR Validation error";"Cab"
"31";"MTN";30;"Combined";"cab";56,6678028716495;5,63893197943729;"Validation error";"MTN Validation error";"Cab"
"32";"RFR";30;"Combined";"cab";55,0004922217234;4,22051687338008;"Validation error";"RFR Validation error";"Cab"
"33";"ANN";40;"Combined";"cab";69,236703617268;6,56637775190055;"Validation error";"ANN Validation error";"Cab"
"34";"GPR";40;"Combined";"cab";69,5045030588975;7,56757008271505;"Validation error";"GPR Validation error";"Cab"
"35";"MTN";40;"Combined";"cab";68,6506368789895;7,4024265501347;"Validation error";"MTN Validation error";"Cab"
"36";"RFR";40;"Combined";"cab";66,3679034648964;8,06944511121945;"Validation error";"RFR Validation error";"Cab"
"37";"ANN";50;"Combined";"cab";70,2854057320693;4,7065012077213;"Validation error";"ANN Validation error";"Cab"
"38";"GPR";50;"Combined";"cab";70,3175324623286;4,87142147718454;"Validation error";"GPR Validation error";"Cab"
"39";"MTN";50;"Combined";"cab";70,2651648838008;4,42820748510092;"Validation error";"MTN Validation error";"Cab"
"40";"RFR";50;"Combined";"cab";70,0725534042245;4,67632200280487;"Validation error";"RFR Validation error";"Cab"
"41";"ANN";1;"Inverted";"cab";2,47320746640353;0,778657799216971;"Validation error";"ANN Validation error";"Cab"
"42";"GPR";1;"Inverted";"cab";4,89371537264875;0,740035290074311;"Validation error";"GPR Validation error";"Cab"
"43";"MTN";1;"Inverted";"cab";1,500220233413;0,460613755799058;"Validation error";"MTN Validation error";"Cab"
"44";"RFR";1;"Inverted";"cab";1,96779410097887;0,159650739622495;"Validation error";"RFR Validation error";"Cab"
"45";"ANN";3;"Inverted";"cab";4,19374063331185;0,374650366060467;"Validation error";"ANN Validation error";"Cab"
"46";"GPR";3;"Inverted";"cab";7,27904147477774;0,821750413135913;"Validation error";"GPR Validation error";"Cab"
"47";"MTN";3;"Inverted";"cab";3,66996579004373;0,585180915005381;"Validation error";"MTN Validation error";"Cab"
"48";"RFR";3;"Inverted";"cab";4,31672118230302;0,233086228824447;"Validation error";"RFR Validation error";"Cab"
"49";"ANN";5;"Inverted";"cab";7,93263795361272;0,637776608681641;"Validation error";"ANN Validation error";"Cab"
"50";"GPR";5;"Inverted";"cab";10,4865052162785;0,915062573026789;"Validation error";"GPR Validation error";"Cab"
"51";"MTN";5;"Inverted";"cab";7,10054458562236;0,532398544935225;"Validation error";"MTN Validation error";"Cab"
"52";"RFR";5;"Inverted";"cab";7,92881007205647;0,479302469258059;"Validation error";"RFR Validation error";"Cab"
"53";"ANN";10;"Inverted";"cab";23,7604057821387;1,24677266241605;"Validation error";"ANN Validation error";"Cab"
"54";"GPR";10;"Inverted";"cab";26,4555007493474;1,37231533509476;"Validation error";"GPR Validation error";"Cab"
"55";"MTN";10;"Inverted";"cab";23,3329441110369;1,39847486689738;"Validation error";"MTN Validation error";"Cab"
"56";"RFR";10;"Inverted";"cab";24,37696698707;1,68132179672227;"Validation error";"RFR Validation error";"Cab"
"57";"ANN";15;"Inverted";"cab";44,406117898705;5,64420643673328;"Validation error";"ANN Validation error";"Cab"
"58";"GPR";15;"Inverted";"cab";43,9216650431769;4,8809563981763;"Validation error";"GPR Validation error";"Cab"
"59";"MTN";15;"Inverted";"cab";43,2101577311075;4,8860366380001;"Validation error";"MTN Validation error";"Cab"
"60";"RFR";15;"Inverted";"cab";44,314558379995;4,92685732649421;"Validation error";"RFR Validation error";"Cab"
"61";"ANN";20;"Inverted";"cab";61,3841368708332;7,37881373428478;"Validation error";"ANN Validation error";"Cab"
"62";"GPR";20;"Inverted";"cab";61,3966021992347;6,67184941190622;"Validation error";"GPR Validation error";"Cab"
"63";"MTN";20;"Inverted";"cab";60,4837844790287;6,68039295618027;"Validation error";"MTN Validation error";"Cab"
"64";"RFR";20;"Inverted";"cab";60,9013498725807;6,20911773147224;"Validation error";"RFR Validation error";"Cab"
