,Model,NoiseLevel,NoiseType,OutOfBag,KFold_tr_samples,KFold_vl_samples,Variable,Fold_nr,ExplVar,Max_err,Mean_abs_Err,Mean_sqr_err,Median_abs_err,r2,MAPE,ModelName
0,RFR,0.1,Combined,200,1620,180,cab,1,0.9204295162509032,40.19213949380196,7.0848969121983805,94.30832169504487,5.697531947518037,0.9204244950844819,10.95803703653301,Not stored
1,GPR,0.1,Combined,200,1620,180,cab,1,0.886076415598215,39.70084738577108,9.075604816848138,135.47113995122126,7.624593947679244,0.8856921195357709,20.27050576433608,Not stored
2,ANN,0.1,Combined,200,1620,180,cab,1,0.9151204805822751,40.0680674496958,7.571462264109616,103.35940285230623,5.8350495102456605,0.9127873710197637,13.1698928129133,Not stored
3,MTN,0.1,Combined,200,1620,180,cab,1,0.9222305836315674,43.852079290516116,6.883535491222088,95.744982631992,4.35589724906098,0.9192122688737383,11.503452597125314,Not stored
4,RFR,0.1,Inverted,200,1620,180,cab,1,0.3660715084324415,91.9438345179793,21.58467540341263,825.956356576187,16.06503014157485,0.303074289400856,33.678038896340894,Not stored
5,GPR,0.1,Inverted,200,1620,180,cab,1,0.730635012964419,57.54340913786333,13.97297346933403,320.46293459332827,11.60028866540416,0.7295996857050142,28.12570970185691,Not stored
6,ANN,0.1,Inverted,200,1620,180,cab,1,0.6317240394370174,64.942950330172,16.19882946461433,455.8988578129367,11.377533276832528,0.6153215204255026,28.822973390377065,Not stored
7,MTN,0.1,Inverted,200,1620,180,cab,1,0.7465950293100883,58.57346817673716,13.423342245980603,302.3925546104783,10.777252156558689,0.7448471165287791,25.643962230418648,Not stored
8,RFR,0.1,Combined,200,1620,180,cw,1,0.23188852798691872,0.004374465354011557,0.001749924573207556,4.203935828165571e-06,0.001746331465668377,0.22553155335196895,35.783607770471264,Not stored
9,GPR,0.1,Combined,200,1620,180,cw,1,0.6441063238675998,0.004988443996360864,0.001113890847111454,1.935953639475054e-06,0.0009160920562309629,0.6433496919953945,22.632810476549018,Not stored
10,ANN,0.1,Combined,200,1620,180,cw,1,0.6591004726647809,0.005467894389360611,0.0010524914654158474,1.8548337614002137e-06,0.000844608195356191,0.6582939700559645,21.19550061062983,Not stored
11,MTN,0.1,Combined,200,1620,180,cw,1,0.6689676806045963,0.005037278770535652,0.0010510757138037922,1.816892620964303e-06,0.0008776483311081881,0.6652836619300855,20.846466147009917,Not stored
12,RFR,0.1,Inverted,200,1620,180,cw,1,0.13417169309534893,0.0042241136825570645,0.0018535170952676332,4.7606219241639925e-06,0.0018940027380670312,0.12297627333320038,37.760598003902615,Not stored
