;Model;NoiseLevel;NoiseType;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
0;RFR;0,01;Combined;200;1620;180;cab;1;0,9974570994847884;8,278203468924133;0,9939745135793775;2,838963744106839;0,6121735864836904;0,9974552060562886;1,480383501251536;Not stored
1;GPR;0,01;Combined;200;1620;180;cab;1;0,9901825687750169;13,383102978404963;2,263386429190912;11,065229243845051;1,6072887320772367;0,9900813356901905;4,306338214362627;Not stored
2;ANN;0,01;Combined;200;1620;180;cab;1;0,9991266835468979;3,4345850003080294;0,7864684543731664;0,9747349243653002;0,6096720770362936;0,9991262658646494;1,4440437396555539;Not stored
3;MTN;0,01;Combined;200;1620;180;cab;1;0,999022034906137;4,591201077575285;0,7900697248213834;1,1028820202087877;0,607600556133864;0,9990113972073502;1,5734886467098876;Not stored
4;RFR;0,01;Inverted;200;1620;180;cab;1;0,995295267535341;7,977585962794919;1,523086766086763;5,30190739844619;0,7922682814335165;0,9952474694804778;2,1175367081365017;Not stored
5;GPR;0,01;Inverted;200;1620;180;cab;1;0,990136436301344;13,270031813920355;2,274118311422056;11,10009141356516;1,6601209201973361;0,9900500858940096;4,329650701018975;Not stored
6;ANN;0,01;Inverted;200;1620;180;cab;1;0,9990093353363383;3,751755633865386;0,8239699102260846;1,1059672495473567;0,7324152366153243;0,9990086316655387;1,4911403933833307;Not stored
7;MTN;0,01;Inverted;200;1620;180;cab;1;0,999175375625446;4,5908973757067315;1,1365115083305835;1,9602382835969596;0,9807362161222706;0,9982428791059118;1,9396177997725745;Not stored
8;RFR;0,01;Combined;200;1620;180;cw;1;0,024400740093265316;0,004825290502926771;0,0018583218117520278;4,8081473294325685e-06;0,001634816695949311;0,016466986587647225;41,37717155236831;Not stored
9;GPR;0,01;Combined;200;1620;180;cw;1;0,9487931508239488;0,0019591807310740668;0,00036273306490772065;2,5690135329274027e-07;0,0002588813365364418;0,9474494134971652;7,401228033926604;Not stored
10;ANN;0,01;Combined;200;1620;180;cw;1;0,9957599289791657;0,0007651774661437682;0,00010527115043059604;2,0998406267986988e-08;7,483473456739885e-05;0,9957046603652956;2,090574956771227;Not stored
11;MTN;0,01;Combined;200;1620;180;cw;1;0,9955159931191109;0,0005901102948964745;0,0001318995747501063;2,9809047578668654e-08;0,00010292097696707869;0,9939023951673586;2,638367129927202;Not stored
12;RFR;0,01;Inverted;200;1620;180;cw;1;0,030938226433715355;0,004909313459854393;0,001861915620696721;4,784498736939363e-06;0,0016848517554551702;0,02130443640858437;41,57860467984223;Not stored
13;GPR;0,01;Inverted;200;1620;180;cw;1;0,9477051547455027;0,0019398963103460544;0,00036972854589077447;2,624670571132194e-07;0,0002511305719908653;0,946310918131849;7,583582822181654;Not stored
14;ANN;0,01;Inverted;200;1620;180;cw;1;0,994496974482505;0,0006440701411859207;0,0001258838108024859;2,711630526755066e-08;0,00010391741324572521;0,994453210435307;2,4488973071415585;Not stored
15;MTN;0,01;Inverted;200;1620;180;cw;1;0,9914292635668828;0,0010430105458923613;0,00028709965694595545;1,1878669209390211e-07;0,00024874599707701934;0,9757015280057593;5,851235284027084;Not stored
16;RFR;0,01;Combined;200;1620;180;cm;1;0,27749826539839206;0,0039570945639577125;0,0016798729220727344;3,875264671396031e-06;0,0016931858922839688;0,27062498090689213;35,119215899297956;Not stored
17;GPR;0,01;Combined;200;1620;180;cm;1;0,9182412023825258;0,002294272832375587;0,00048603603749308266;4,4556512721177676e-07;0,00034045155076753604;0,9161388703161171;9,256690543832987;Not stored
18;ANN;0,01;Combined;200;1620;180;cm;1;0,9937579640192596;0,0008402571235577925;0,00015956856779655477;4,2159298470680786e-08;0,0001372977479152846;0,9920650738118676;3,1149209411387146;Not stored
19;MTN;0,01;Combined;200;1620;180;cm;1;0,9936407172817158;0,0008231735292271959;0,00015700958503775324;4,5186817737432725e-08;0,0001226552961486327;0,9914952554613196;2,9539871931283272;Not stored
20;RFR;0,01;Inverted;200;1620;180;cm;1;0,2703085338286867;0,00395897340767174;0,0016979345321516234;3,922430711537584e-06;0,0017219292797891425;0,2617477210689473;35,16870794286434;Not stored
21;GPR;0,01;Inverted;200;1620;180;cm;1;0,9158119991169322;0,0021974118007488143;0,0004959356174492356;4,5929216904678545e-07;0,0003439642003100231;0,9135552631951885;9,43869806404782;Not stored
22;ANN;0,01;Inverted;200;1620;180;cm;1;0,9901092265987563;0,0008489150474573835;0,00018836234522316274;6,0463748958432e-08;0,00015657969227211768;0,9886199390775778;3,4804147971063735;Not stored
23;MTN;0,01;Inverted;200;1620;180;cm;1;0,9876420762162187;0,0012451679056602553;0,00039949196314733926;2,150119754418305e-07;0,000371901733711449;0,9595319605262891;7,238994991472753;Not stored
24;RFR;0,01;Combined;200;1620;180;lai;1;0,9384968277096514;4,056630450292903;0,4719972554087735;0,4791380225361576;0,3484224848796802;0,9384330910250459;13,645850874083317;Not stored
25;GPR;0,01;Combined;200;1620;180;lai;1;0,8639831586931194;3,3636280536775836;0,7974390817296814;1,05854735001451;0,6863577657555837;0,86398180632992;17,892473533445326;Not stored
26;ANN;0,01;Combined;200;1620;180;lai;1;0,9911347266135874;1,1929302184148227;0,19250715053935008;0,0697851606340553;0,1363581583225022;0,9910329457682828;4,294668625896358;Not stored
27;MTN;0,01;Combined;200;1620;180;lai;1;0,994797919587612;1,0218948930101135;0,1449263798845128;0,04270831366104763;0,09960463800780506;0,994512189106334;3,1396307090425624;Not stored
28;RFR;0,01;Inverted;200;1620;180;lai;1;0,8532360861011916;3,8903184671716398;0,8184861637242853;1,142520064840436;0,6581280295408396;0,8531917202860235;19,51885832897431;Not stored
29;GPR;0,01;Inverted;200;1620;180;lai;1;0,8632085958026297;3,2442038999786824;0,7960192934863727;1,0645687510418151;0,6429209611452089;0,8632080855406838;17,878254288479475;Not stored
30;ANN;0,01;Inverted;200;1620;180;lai;1;0,9830089934888634;1,3479436291499525;0,26373490572852004;0,132239845228036;0,17599389995679537;0,9830078221074552;5,254961236560192;Not stored
31;MTN;0,01;Inverted;200;1620;180;lai;1;0,9808004434393324;2,09496148956255;0,31587923149106223;0,207198555401953;0,23157954906254652;0,9733759918850703;6,197274797565216;Not stored
32;RFR;0,01;Combined;200;1620;180;cab;2;0,99787727077915;9,218354772613822;0,9306067572416388;2,3722662755804684;0,5978164459136224;0,9978735449286735;1,405070710366362;Not stored
33;GPR;0,01;Combined;200;1620;180;cab;2;0,9903471383830782;13,389942705509725;2,2639962805425053;10,88225581626834;1,6291093391249092;0,990245349644692;4,284640448927242;Not stored
34;ANN;0,01;Combined;200;1620;180;cab;2;0,9984863389947614;3,7338449838741923;1,0754885983803881;1,7545450071823265;0,9270462647335869;0,9984272587075073;2,165478941683033;Not stored
35;MTN;0,01;Combined;200;1620;180;cab;2;0,9992232267555442;5,626549536351263;0,638003688381572;0,9145879807502305;0,4901371496242106;0,9991801804587199;1,136327405907859;Not stored
36;RFR;0,01;Inverted;200;1620;180;cab;2;0,9952811087999307;9,333770293250211;1,5330131440161947;5,29430875270795;0,9287602818044167;0,9952542807642412;2,1324899227261587;Not stored
37;GPR;0,01;Inverted;200;1620;180;cab;2;0,9902770749402017;13,288657329322518;2,2754429004868486;10,943775835590646;1,7032397730155218;0,9901902042512669;4,312059049005601;Not stored
38;ANN;0,01;Inverted;200;1620;180;cab;2;0,9982562203169472;4,540093341384917;1,1464641040532075;2,0252877060368166;0,9489495761880349;0,9981845700216164;2,2393565600623715;Not stored
39;MTN;0,01;Inverted;200;1620;180;cab;2;0,9988674346840698;4,751140821276536;0,8110566910219109;1,267574817736634;0,6089888227633935;0,9988637696673396;1,3478703962147782;Not stored
40;RFR;0,01;Combined;200;1620;180;cw;2;0,019108170607004427;0,004878057947427881;0,0018655092487224816;4,827447848807809e-06;0,001678002812885231;0,01251895906666134;41,48954095667395;Not stored
41;GPR;0,01;Combined;200;1620;180;cw;2;0,9490469555345695;0,0019863165822560716;0,0003636091406160269;2,556258522275755e-07;0,0002659448451099388;0,9477103242638867;7,340117220498993;Not stored
42;ANN;0,01;Combined;200;1620;180;cw;2;0,9958366735905098;0,0011935132073060684;0,00010235201173679842;2,3592902549635564e-08;7,414372925630469e-05;0,9951739418636896;2,0254851154487525;Not stored
43;MTN;0,01;Combined;200;1620;180;cw;2;0,9965807661334205;0,0006659115182058029;0,00013657408294334076;2,873170296946047e-08;0,00011800276427107511;0,9941227719398197;2,7775797138275657;Not stored
44;RFR;0,01;Inverted;200;1620;180;cw;2;0,036523254711966935;0,004309898347134623;0,0018522733587884859;4,7545739260960364e-06;0,0016016393540717782;0,027425721254488722;41,32405707735244;Not stored
45;GPR;0,01;Inverted;200;1620;180;cw;2;0,9480462407200193;0,0019065310015560291;0,00037123568783982165;2,6063585459759866e-07;0,00025166561240504755;0,9466855006903601;7,537998124747874;Not stored
46;ANN;0,01;Inverted;200;1620;180;cw;2;0,9942845603571596;0,001005327373911541;0,00013032878492071632;3,11698198829387e-08;0,00010047549107398924;0,9936240416991122;2,5338510715309406;Not stored
47;MTN;0,01;Inverted;200;1620;180;cw;2;0,9950423678390615;0,0005949171620443904;0,00013291265984419825;2,8781436184567736e-08;0,00010577944586204245;0,994112598736802;2,6677022561441603;Not stored
48;RFR;0,01;Combined;200;1620;180;cm;2;0,2688749146139019;0,003886510340657408;0,0016830924683790022;3,932986391504959e-06;0,001688220701979932;0,2597610053396777;35,037971394671814;Not stored
49;GPR;0,01;Combined;200;1620;180;cm;2;0,9183882711182341;0,002351278272192365;0,0004899800281798926;4,452219878982414e-07;0,0003522308617035213;0,916203453580638;9,342109523544627;Not stored
50;ANN;0,01;Combined;200;1620;180;cm;2;0,9952223988951776;0,0007280423931487583;0,00015355978336598468;3,659782007211447e-08;0,00013532180802349738;0,9931118161010023;2,9771714130626354;Not stored
51;MTN;0,01;Combined;200;1620;180;cm;2;0,9959768475897349;0,0006158230233312047;0,00015642360182515136;3,8732222185309504e-08;0,00013996181001524896;0,9927100939699812;2,88997933087553;Not stored
52;RFR;0,01;Inverted;200;1620;180;cm;2;0,26974847365628674;0,004271438673320895;0,0016979127517083533;3,928616481570777e-06;0,0016801009202052888;0,2605834790058521;35,15932952372561;Not stored
53;GPR;0,01;Inverted;200;1620;180;cm;2;0,9161086360871472;0,0022364296602979403;0,0004992286293001791;4,5811845678113403e-07;0,000346684563356106;0,9137761710502025;9,511354575839233;Not stored
54;ANN;0,01;Inverted;200;1620;180;cm;2;0,9904513929259613;0,0007842205661657831;0,00019559698627029745;6,119651065400091e-08;0,00017069023802311145;0,9884820238328098;3,618107137222104;Not stored
55;MTN;0,01;Inverted;200;1620;180;cm;2;0,9922213820837904;0,0006459676356233082;0,00016053949191776985;4,1965487931261015e-08;0,00013675994111075852;0,9921015514663961;2,9285228159023093;Not stored
56;RFR;0,01;Combined;200;1620;180;lai;2;0,9383992172362031;4,30657661857553;0,4493295247446155;0,4794065024764872;0,3246589841474583;0,9383985926565792;13,219604566409329;Not stored
57;GPR;0,01;Combined;200;1620;180;lai;2;0,8645154692521015;3,371874838694211;0,794521153553699;1,054433399010384;0,6901990103293032;0,8645104290546577;17,674035633767815;Not stored
58;ANN;0,01;Combined;200;1620;180;lai;2;0,9926947406647338;0,9314094118876;0,21505828440801605;0,08003026614228617;0,16059688532633665;0,9897164994655551;4,40386477527984;Not stored
59;MTN;0,01;Combined;200;1620;180;lai;2;0,9924547325978069;1,0734845551350887;0,22789949480431881;0,10064076311327115;0,14363744454542315;0,9870681506991086;4,149499499823391;Not stored
60;RFR;0,01;Inverted;200;1620;180;lai;2;0,8567256462238968;4,16997569794291;0,8062916180597434;1,1182451682346175;0,6483555962059722;0,8563109266094876;19,1664942530582;Not stored
61;GPR;0,01;Inverted;200;1620;180;lai;2;0,8636616096533347;3,2550733051954097;0,7933660092834646;1,0610668806364274;0,6376635652179043;0,8636580588810365;17,614068861047194;Not stored
