;Model;NoiseLevel;NoiseType;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
0;RFR;0,5;Combined;200;1620;180;cab;1;0,06605284434858849;73,20316798103303;30,547659415229575;1251,9759905746305;30,3315714314189;0,05047869943650107;66,3259210298364;Not stored
1;GPR;0,5;Combined;200;1620;180;cab;1;0,08147541788314927;73,4917607576484;30,931386270518946;1226,6775753192424;30,69351138183295;0,06966547644846788;69,59713139840596;Not stored
2;ANN;0,5;Combined;200;1620;180;cab;1;0,04278162220329318;85,91599163856182;31,177448100936175;1332,4228760445624;30,454152511162164;-0,010533677711908052;64,29750314319993;Not stored
3;MTN;0,5;Combined;200;1620;180;cab;1;0,10998015351218104;89,07112589982779;30,05243531737325;1216,7904199016689;29,399079868249434;0,07716407445805029;63,57709281319024;Not stored
4;RFR;0,5;Inverted;200;1620;180;cab;1;-0,22739124841243474;111,02592684353746;38,580686276833056;2193,4458752516243;34,522167689066755;-0,6635491382136158;65,0591701108408;Not stored
5;GPR;0,5;Inverted;200;1620;180;cab;1;-0,008090881751093848;76,80885552151273;31,492171719074282;1339,4773922046197;29,59986844903299;-0,015883950727981988;78,13083063244456;Not stored
6;ANN;0,5;Inverted;200;1620;180;cab;1;-0,5338013720347319;167,2614022357601;42,382381209192715;2696,0437190142115;38,754290449782886;-1,044728459432727;73,25949675358508;Not stored
7;MTN;0,5;Inverted;200;1620;180;cab;1;-0,0476973690693403;74,60185336581637;32,385545514938165;1391,3009497831483;31,793363118155888;-0,05518787681142601;79,71209265547037;Not stored
8;RFR;0,5;Combined;200;1620;180;cw;1;0,006594962874041266;0,004284401736009618;0,001828104599616427;4,664616019280879e-06;0,0018391349005501358;-0,004250062248569719;40,485272997852945;Not stored
9;GPR;0,5;Combined;200;1620;180;cw;1;-0,008308005672507557;0,004422750240414747;0,0018393190382657893;4,7334157770471715e-06;0,0018382365354983735;-0,01906203406659257;40,6008031135555;Not stored
10;ANN;0,5;Combined;200;1620;180;cw;1;-0,08414860252514367;0,004636440381532787;0,001925142630152688;5,21770195367933e-06;0,0018649537832347179;-0,123324511625023;43,425403994848054;Not stored
11;MTN;0,5;Combined;200;1620;180;cw;1;-0,034767066257983315;0,004389502063518642;0,0018495147822829127;4,847762987632648e-06;0,0017305617431882209;-0,043679964647322045;40,7053443572838;Not stored
12;RFR;0,5;Inverted;200;1620;180;cw;1;-0,04054783281217089;0,004454623599522025;0,0018887975548650799;4,846539058347251e-06;0,001896372228009978;-0,04341646363116802;40,49898456409739;Not stored
