,Model,NoiseLevel,NoiseType,OutOfBag,KFold_tr_samples,KFold_vl_samples,Variable,Fold_nr,ExplVar,Max_err,Mean_abs_Err,Mean_sqr_err,Median_abs_err,r2,MAPE,ModelName
0,RFR,0.25,Combined,200,1620,180,cab,1,0.34438633232344285,67.7052308971172,23.070161303614682,796.7388771071772,20.520153823921913,0.3369653353509048,45.23567965897835,Not stored
1,GPR,0.25,Combined,200,1620,180,cab,1,0.3238690326817071,68.36667888804774,23.705287597326667,821.2601780357426,21.536467339184938,0.31655906046575977,48.602775368804416,Not stored
2,ANN,0.25,Combined,200,1620,180,cab,1,0.27631481379535183,72.67662786689314,24.1029705567215,871.7285002158719,21.215201379687116,0.27456004669402034,51.01532144696227,Not stored
3,MTN,0.25,Combined,200,1620,180,cab,1,0.35375828023769973,70.48920416083845,22.53640075691248,787.398035726188,19.040801340402396,0.3447386495577769,44.1625913811993,Not stored
4,RFR,0.25,Inverted,200,1620,180,cab,1,-0.02344442357104226,75.66742893002488,29.702417940189903,1248.4880335459627,28.315525348529597,-0.038973832488409466,67.18753867724352,Not stored
5,GPR,0.25,Inverted,200,1620,180,cab,1,-0.05513537768300392,85.54615666824753,30.546152047527368,1291.585021761514,29.58767700303765,-0.07483852787346978,67.49290874755235,Not stored
6,ANN,0.25,Inverted,200,1620,180,cab,1,-0.09671012544724089,77.24520043875835,31.058627537201897,1344.4390068996536,29.939476264288533,-0.11882285613754728,68.45561229476228,Not stored
7,MTN,0.25,Inverted,200,1620,180,cab,1,-0.08817028488741152,83.47360930427794,30.987024941268718,1323.6323598770616,29.031833976637092,-0.10150786294782677,69.04971007437524,Not stored
8,RFR,0.25,Combined,200,1620,180,cw,1,0.11844523473186253,0.0041188281699094265,0.0017811477126285927,4.2638752900973375e-06,0.00175822817175466,0.10770723738319743,35.649513214317615,Not stored
9,GPR,0.25,Combined,200,1620,180,cw,1,0.17453861395483083,0.004965070282397833,0.001669700630525475,3.98804116078617e-06,0.0016438750474092167,0.16543050096894907,32.65624132911477,Not stored
10,ANN,0.25,Combined,200,1620,180,cw,1,0.10648050080936933,0.004847988729060958,0.0017345485401830606,4.293692502729322e-06,0.0015926636490858148,0.10146744817202691,34.446951245164904,Not stored
11,MTN,0.25,Combined,200,1620,180,cw,1,0.1921768739540325,0.0052986859909010635,0.0016671310229073163,3.9673108986595495e-06,0.0016365478864084106,0.16976868199072814,31.99444743266283,Not stored
12,RFR,0.25,Inverted,200,1620,180,cw,1,0.014534073747739185,0.004819170288916897,0.0018854891179746576,4.780274580995878e-06,0.0018701323762867071,-0.00035862255397201004,37.866474122108364,Not stored
13,GPR,0.25,Inverted,200,1620,180,cw,1,0.00599170159369522,0.0046351319802720725,0.001868348223229446,4.7924161953604e-06,0.001817216131929774,-0.0028994742175063593,37.76097033274668,Not stored
14,ANN,0.25,Inverted,200,1620,180,cw,1,-0.059392545865698976,0.005749953412875982,0.0019326715877795188,5.142608900809448e-06,0.0019218339620076337,-0.07618361020504127,38.21567403809766,Not stored
15,MTN,0.25,Inverted,200,1620,180,cw,1,0.021347304015644886,0.004843042364570156,0.0018646485546475657,4.709211776567348e-06,0.0017832410793409978,0.01451255020994413,37.849798123104925,Not stored
16,RFR,0.25,Combined,200,1620,180,cm,1,0.05141512259625858,0.004530318856152611,0.0018741843657676498,4.977375134686285e-06,0.0018767883579611914,0.04041379484361507,43.13544171643735,Not stored
