;Model;NoiseLevel;NoiseType;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
0;RFR;0,01;Combined;200;1620;180;cab;1;0,9978791469292716;11,948752819077868;0,9738091591460133;2,7798301270060533;0,6557412042149622;0,9978720675579895;1,604888504286521;Not stored
1;GPR;0,01;Combined;200;1620;180;cab;1;0,9935852309085407;14,676758760769857;2,136112568966269;8,408364141751802;1,7785366823052797;0,9935634804919744;4,945194574420609;Not stored
2;ANN;0,01;Combined;200;1620;180;cab;1;0,9986458308242743;5,459020348911796;1,0145450867232744;1,769035021111622;0,8426115594766426;0,9986458212047186;2,21660981648133;Not stored
3;MTN;0,01;Combined;200;1620;180;cab;1;0,9985773269239224;5,102661045688137;1,0236184340705907;1,8587609884709821;0,8263444506059381;0,9985771368649886;2,1581294342398927;Not stored
4;RFR;0,01;Inverted;200;1620;180;cab;1;0,995772921277132;12,888065694964595;1,5040920298443425;5,526189275265295;0,9036727726248976;0,9957697568188483;2,1752716393450857;Not stored
5;GPR;0,01;Inverted;200;1620;180;cab;1;0,993723264757638;14,52103549613524;2,1302772314080363;8,224435063268443;1,7158055882115377;0,9937042763806626;4,9667124099398245;Not stored
6;ANN;0,01;Inverted;200;1620;180;cab;1;0,9988318846913006;4,874409074818686;1,049181509544959;1,8713608562678903;0,8025149076555991;0,9985674917909283;2,1349291383204103;Not stored
7;MTN;0,01;Inverted;200;1620;180;cab;1;0,9990414306598043;4,2961317948111315;1,182566535348093;2,194994778795393;0,965996253772591;0,998319753227197;2,303143342537166;Not stored
8;RFR;0,01;Combined;200;1620;180;cw;1;0,014058895666401838;0,004691144256181866;0,002037029114556588;5,3755753334046065e-06;0,0020258586161025103;0,0017998239921486192;47,00807573931096;Not stored
9;GPR;0,01;Combined;200;1620;180;cw;1;0,9554392199177493;0,0021245893249840705;0,0003676419949167004;2,4278830231302976e-07;0,0002885788331423566;0,9549162069043089;7,776584031320575;Not stored
10;ANN;0,01;Combined;200;1620;180;cw;1;0,9969739372896784;0,0004971885025105427;0,00010417796302640817;1,7936157477264075e-08;8,84469918900439e-05;0,9966694029121957;2,1447386898619594;Not stored
11;MTN;0,01;Combined;200;1620;180;cw;1;0,99449655685835;0,0006780129516589942;0,00014563615048385537;3,994170955810916e-08;0,0001025017509835109;0,9925831526788952;2,8103412725576424;Not stored
12;RFR;0,01;Inverted;200;1620;180;cw;1;0,07489484552455716;0,004388950308915306;0,0019866303984959334;5,046870470108485e-06;0,001915653672790861;0,06283761660903964;45,93689440520947;Not stored
13;GPR;0,01;Inverted;200;1620;180;cw;1;0,9556946884144393;0,0021500521952909843;0,00036785214328692123;2,409395321725638e-07;0,0003156247252902285;0,9552595083306964;7,820379523070212;Not stored
