;Model;NoiseLevel;NoiseType;OutOfBag;KFold_tr_samples;KFold_vl_samples;Variable;Fold_nr;ExplVar;Max_err;Mean_abs_Err;Mean_sqr_err;Median_abs_err;r2;MAPE;ModelName
0;RFR;0,5;Combined;200;1620;180;cab;1;0,026932712763729327;74,05982556011611;27,6845700523947;1094,1146755479429;25,78418131189228;0,016896992039845182;70,1335621953515;Not stored
1;GPR;0,5;Combined;200;1620;180;cab;1;0,017911291199177226;78,60239280892111;27,81825334522244;1101,7580692053718;25,284250658952313;0,010029116611815825;71,60486682138627;Not stored
2;ANN;0,5;Combined;200;1620;180;cab;1;-0,04466722718921212;86,88955489101826;27,972730317740044;1163,7471090357785;25,95429086646061;-0,0456703570172301;67,12176153272908;Not stored
3;MTN;0,5;Combined;200;1620;180;cab;1;0,05737508867356722;84,92628167239957;27,187524606098062;1049,364641779532;23,466111190651862;0,057106573162601704;68,0520865969604;Not stored
4;RFR;0,5;Inverted;200;1620;180;cab;1;-0,0682908827476203;67,6820703527844;29,608762391814608;1204,9637679141358;27,088721175762398;-0,08270506848482628;80,7413327177218;Not stored
5;GPR;0,5;Inverted;200;1620;180;cab;1;-0,06002564292464685;70,80348417245105;28,911954901227798;1192,2204509831972;27,59885343689929;-0,07125472101560759;77,62120339092932;Not stored
6;ANN;0,5;Inverted;200;1620;180;cab;1;-0,08550054421833075;74,76690474453389;29,74312401335614;1279,8903804744423;28,29420916479788;-0,15002943569287264;83,7374851850447;Not stored
7;MTN;0,5;Inverted;200;1620;180;cab;1;-0,038069707293293176;72,11807337176447;28,57895000226741;1165,8807338722193;28,29297536624646;-0,047587498831924036;77,73787129853515;Not stored
8;RFR;0,5;Combined;200;1620;180;cw;1;-0,010853198694962263;0,004524975891854229;0,0019522672596672922;4,9514691809527295e-06;0,0018901581213931992;-0,01208300358760872;42,0896506549665;Not stored
9;GPR;0,5;Combined;200;1620;180;cw;1;-0,06099058207761221;0,005318800056672421;0,0019892790977803776;5,196444654706278e-06;0,0019692381571037665;-0,06215612415464067;42,5239405750459;Not stored
10;ANN;0,5;Combined;200;1620;180;cw;1;-0,10182329352459818;0,005454313316470612;0,0019951127874718653;5,453516238379468e-06;0,001837122372224967;-0,11470169619249826;43,74286517550301;Not stored
11;MTN;0,5;Combined;200;1620;180;cw;1;-0,08078391323563516;0,00565543149513625;0,0019738729444427634;5,288791027506283e-06;0,001825499002373086;-0,08103177316673182;42,10406381304038;Not stored
12;RFR;0,5;Inverted;200;1620;180;cw;1;0,01854140392760084;0,004129018720566629;0,0019199293052760327;4,810530324776296e-06;0,0017923716951023221;0,01672497555320085;41,56183383715843;Not stored
13;GPR;0,5;Inverted;200;1620;180;cw;1;-0,02929418588159116;0,004748249483840793;0,0019234619098971882;5,055266555431894e-06;0,0018818486900276268;-0,03329924359400738;42,043720098835294;Not stored
14;ANN;0,5;Inverted;200;1620;180;cw;1;-0,012048558854779845;0,0055318295850808885;0,001900242471435471;4,95377173854168e-06;0,001805871609669526;-0,012553647615753283;40,09286967824768;Not stored
15;MTN;0,5;Inverted;200;1620;180;cw;1;-0,011076386869286914;0,005102503605650783;0,0019241661039043148;5,026572066632075e-06;0,0017675860080666643;-0,027434074419038668;43,20458800738032;Not stored
16;RFR;0,5;Combined;200;1620;180;cm;1;0,006363864936288377;0,00496038078034554;0,0018939530548278188;5,0089279208628946e-06;0,0018931861619340346;0,006340060688263094;40,92203185081893;Not stored
17;GPR;0,5;Combined;200;1620;180;cm;1;0,021660688857796262;0,0047017124863487835;0,001863355010041329;4,934974409131072e-06;0,001799928641515518;0,02101079325625599;39,702199613001966;Not stored
18;ANN;0,5;Combined;200;1620;180;cm;1;-0,01455685410751828;0,005282531094219762;0,0018889156249403017;5,135550743510585e-06;0,0019012312113408304;-0,018779092203421666;41,67866729756069;Not stored
19;MTN;0,5;Combined;200;1620;180;cm;1;-0,06866887157013135;0,006852365629502949;0,0019335175395621875;5,394345500664191e-06;0,0018239523139001318;-0,07011821840972354;40,54313011330055;Not stored
20;RFR;0,5;Inverted;200;1620;180;cm;1;-0,021098482237150273;0,004306974088693445;0,0019392349389749403;5,147302559381459e-06;0,001984252223428684;-0,021110391201839773;41,47508117558375;Not stored
21;GPR;0,5;Inverted;200;1620;180;cm;1;-0,10643793295182946;0,004647034135584283;0,0020308216974641606;5,579795439548741e-06;0,0021859424273578485;-0,10690736329836525;43,24829514362627;Not stored
22;ANN;0,5;Inverted;200;1620;180;cm;1;-0,09980281201791619;0,004878403526726194;0,001986588178691673;5,615443975099796e-06;0,0018341788363100636;-0,11397924020133954;40,50325634140434;Not stored
23;MTN;0,5;Inverted;200;1620;180;cm;1;-0,2261787420572552;0,0059901118753431515;0,0020812253468792904;6,204044721059418e-06;0,0019085069094828238;-0,23074454222795038;43,32573065445539;Not stored
