"";"Model";"NSamples";"Variable";"MAPE";"sd";"ErrorType";"ErrorTypeNames";"Model_ErrorType";"PT_type"
"1";"ANN";50;"cab";20,5617452454407;6,19589495370562;"Out-of-bag";"Validation error";"ANN Validation error";17
"2";"GPR";50;"cab";2,09664384305007;0,920377685994287;"Out-of-bag";"Validation error";"GPR Validation error";17
"3";"MTN";50;"cab";26,8051768771216;14,1598945230391;"Out-of-bag";"Validation error";"MTN Validation error";17
"4";"RFR";50;"cab";12,3079609634617;1,35703612037541;"Out-of-bag";"Validation error";"RFR Validation error";17
"5";"ANN";100;"cab";24,0448451435826;10,6453469200448;"Out-of-bag";"Validation error";"ANN Validation error";17
"6";"GPR";100;"cab";12,0642502539572;5,69341749331055;"Out-of-bag";"Validation error";"GPR Validation error";17
"7";"MTN";100;"cab";22,2903267506956;25,3091757588965;"Out-of-bag";"Validation error";"MTN Validation error";17
"8";"RFR";100;"cab";6,34833990217759;0,615905692853857;"Out-of-bag";"Validation error";"RFR Validation error";17
"9";"ANN";350;"cab";6,16294740887229;2,27989373010696;"Out-of-bag";"Validation error";"ANN Validation error";17
"10";"GPR";350;"cab";0,277199926115961;0,0723241354130849;"Out-of-bag";"Validation error";"GPR Validation error";17
"11";"MTN";350;"cab";3,54025803875225;0,879230920935222;"Out-of-bag";"Validation error";"MTN Validation error";17
"12";"RFR";350;"cab";3,27880886593621;0,218167437990505;"Out-of-bag";"Validation error";"RFR Validation error";17
"13";"ANN";600;"cab";4,10240139696811;0,654181038945999;"Out-of-bag";"Validation error";"ANN Validation error";17
"14";"GPR";600;"cab";0,0594710644188066;0,00658274909265243;"Out-of-bag";"Validation error";"GPR Validation error";17
"15";"MTN";600;"cab";2,69810756111161;0,836219642900295;"Out-of-bag";"Validation error";"MTN Validation error";17
"16";"RFR";600;"cab";2,07010429967505;0,063137877848883;"Out-of-bag";"Validation error";"RFR Validation error";17
"17";"ANN";850;"cab";4,949401436909;1,49814430786405;"Out-of-bag";"Validation error";"ANN Validation error";17
"18";"GPR";850;"cab";0,114629914592274;0,0127765758193342;"Out-of-bag";"Validation error";"GPR Validation error";17
"19";"MTN";850;"cab";2,36711311179557;0,498993322015722;"Out-of-bag";"Validation error";"MTN Validation error";17
"20";"RFR";850;"cab";2,03866691125637;0,0593761948863707;"Out-of-bag";"Validation error";"RFR Validation error";17
"21";"ANN";1100;"cab";3,28653591371494;0,795185374150489;"Out-of-bag";"Validation error";"ANN Validation error";17
"22";"GPR";1100;"cab";0,0628859602834289;0,00575473868521734;"Out-of-bag";"Validation error";"GPR Validation error";17
"23";"MTN";1100;"cab";2,23797117636968;0,534239330032354;"Out-of-bag";"Validation error";"MTN Validation error";17
"24";"RFR";1100;"cab";1,52216188557122;0,0550023072753607;"Out-of-bag";"Validation error";"RFR Validation error";17
"25";"ANN";1350;"cab";3,78480857288976;0,940607731985373;"Out-of-bag";"Validation error";"ANN Validation error";17
"26";"GPR";1350;"cab";0,0632591448186851;0,0240957119154174;"Out-of-bag";"Validation error";"GPR Validation error";17
"27";"MTN";1350;"cab";1,50398629479744;0,179456742741179;"Out-of-bag";"Validation error";"MTN Validation error";17
"28";"RFR";1350;"cab";1,50614550560543;0,0438452653326705;"Out-of-bag";"Validation error";"RFR Validation error";17
"29";"ANN";1600;"cab";3,05148071226944;0,505794170867089;"Out-of-bag";"Validation error";"ANN Validation error";17
"30";"GPR";1600;"cab";0,0653736622956045;0,00312919187538283;"Out-of-bag";"Validation error";"GPR Validation error";17
